rate,votes,location,rest_type,cuisines,cost,menu_item,online_order_No,online_order_Yes,book_table_No,book_table_Yes
4.1,775,1,20,1386,800.0,5047,0,1,0,1
4.1,787,1,20,594,800.0,5047,0,1,1,0
3.8,918,1,16,484,800.0,5047,0,1,1,0
3.7,88,1,62,1587,300.0,5047,1,0,1,0
3.8,166,4,20,1406,600.0,5047,1,0,1,0
3.8,286,4,20,1156,600.0,5047,0,1,1,0
4.6,2556,1,22,1468,600.0,5047,0,1,0,1
4.0,324,1,13,462,700.0,5047,0,1,1,0
4.2,504,1,13,485,550.0,5047,0,1,1,0
4.1,402,1,13,332,500.0,5047,0,1,1,0
4.2,150,1,13,462,600.0,5047,0,1,0,1
4.2,164,1,13,380,500.0,5047,0,1,0,1
4.0,424,1,13,383,450.0,5047,1,0,1,0
3.8,918,1,16,484,800.0,5047,0,1,1,0
3.8,90,1,13,332,650.0,5047,0,1,1,0
3.9,133,1,13,441,800.0,5047,0,1,1,0
3.8,144,1,13,533,700.0,5047,0,1,1,0
3.9,93,1,13,456,300.0,5047,1,0,1,0
3.0,62,1,13,444,400.0,5047,0,1,1,0
3.7,180,1,13,496,500.0,5047,0,1,1,0
3.6,62,1,65,985,600.0,5047,0,1,1,0
3.8,148,4,22,1194,550.0,5047,1,0,1,0
4.0,219,4,13,455,600.0,5047,0,1,1,0
2.8,506,1,62,1332,500.0,5047,0,1,1,0
3.9,172,1,29,1465,750.0,5047,0,1,1,0
4.2,415,1,62,1190,500.0,1672,0,1,1,0
3.9,230,1,29,235,650.0,5047,0,1,1,0
4.2,1647,1,20,609,600.0,5047,0,1,1,0
4.4,4884,30,20,1402,750.0,5047,0,1,1,0
3.8,133,4,62,1636,200.0,5047,0,1,1,0
3.9,286,1,62,322,500.0,5047,0,1,1,0
3.9,540,1,62,1474,800.0,5047,0,1,1,0
4.6,2556,1,22,1468,600.0,5047,0,1,0,1
3.8,36,1,29,1314,400.0,5047,1,0,1,0
3.6,244,46,62,1196,300.0,165,0,1,1,0
4.0,804,46,20,1218,450.0,4709,0,1,1,0
3.7,679,63,20,604,850.0,5047,0,1,1,0
3.1,245,46,62,1257,300.0,4683,0,1,1,0
4.3,345,1,30,956,400.0,5047,1,0,1,0
